System,Dataset,Model,MAE,MAPE,RMSE
h2,voter-16.csv,XGBoost,0.06776693200147785,0.3561908784298336,0.09168985178951027
h2,voter-16.csv,Linear Regression,0.2941054164507384,1.4472739098691114,0.32752019945546534
h2,voter-16.csv,XGBoost,0.0705240595472373,0.35803312303323376,0.09175063732707028
h2,voter-16.csv,Linear Regression,0.2962091163529943,1.3625722973025403,0.32829643771590855
h2,voter-16.csv,XGBoost,0.06706184969438314,0.3741004968718508,0.08948989678135635
h2,voter-16.csv,Linear Regression,0.29216459975473213,1.2799312782019876,0.3239254747882148
h2,voter-16.csv,XGBoost,0.07049509267984105,0.33435838707593013,0.09972600990304589
h2,voter-16.csv,Linear Regression,0.29328765196656553,2.0190881760468335,0.32443382354199585
h2,voter-16.csv,XGBoost,0.07164760855696467,0.5783647297988835,0.09489576184771434
h2,voter-2.csv,Linear Regression,0.29234339187889113,2.1146745007185106,0.330687249115644
h2,voter-2.csv,XGBoost,0.06602455702805633,0.2800298336744247,0.0966542250313007
h2,voter-2.csv,Linear Regression,0.3039885285747318,7.099641972729236,0.33645327979754974
h2,voter-2.csv,XGBoost,0.06733098635981861,1.063374043340674,0.0926868966342809
h2,voter-2.csv,Linear Regression,0.30897603517313105,2.484927488972963,0.3459058089702917
h2,voter-2.csv,XGBoost,0.07011382566374252,0.3634565668935113,0.10062038863990584
h2,voter-2.csv,Linear Regression,0.30064199682873116,5.511299624960654,0.3335505935304742
h2,voter-2.csv,XGBoost,0.0682994043211002,0.8525601573772503,0.09761115260639235
h2,voter-2.csv,Linear Regression,0.30966463675218103,2.1834572291366494,0.33994564495175467
h2,voter-2.csv,XGBoost,0.06835078628773716,0.36269473979677375,0.09494521409844267
h2,ycsb-2400.csv,Linear Regression,0.6070275875937791,3.178449874124832,0.7348601337949254
h2,ycsb-2400.csv,XGBoost,0.2732960469485236,1.660492027314823,0.34094467323046224
h2,ycsb-2400.csv,Linear Regression,0.6038086802768868,8.567815099861296,0.730899115600897
h2,ycsb-2400.csv,XGBoost,0.27451904621908546,4.6817154544560555,0.34902729021460993
h2,ycsb-2400.csv,Linear Regression,0.5969524726746404,4.03765557921273,0.7413841193229523
h2,ycsb-2400.csv,XGBoost,0.2845020911290892,2.1437219677036157,0.36254493329612364
h2,ycsb-2400.csv,Linear Regression,0.6040588055473363,4.907851677662483,0.7640916611526679
h2,ycsb-2400.csv,XGBoost,0.274629200686255,2.4824261622447725,0.35017257835118937
h2,ycsb-2400.csv,Linear Regression,0.6279620281882828,8.94502072854307,0.7926784966441865
h2,ycsb-2400.csv,XGBoost,0.2809021232977757,4.534508495857482,0.35461788952165263
h2,ycsb-600.csv,Linear Regression,0.5329012640945272,3.8339547208002047,0.6583572777980885
h2,ycsb-600.csv,XGBoost,0.23201791658361504,2.691923569209452,0.3080182664511323
h2,ycsb-600.csv,Linear Regression,0.5384686135376547,2.1302745721215115,0.6553728891530317
